"i.vec","sp.query","q.rank","ncbi.ids","class","cohort","family","genus","infraclass","infraorder","kingdom","order","parvorder","phylum","species","species.group","subclass","subcohort","subfamily","subgenus","subkingdom","suborder","subphylum","subtribe","superclass","superfamily","superkingdom","superorder","tribe","host_record_lcdb_nhm"
943,"Capreolus pygargus","species","48560","Mammalia",NA,"Cervidae","Capreolus",NA,"Pecora","Metazoa","Laurasiatheria",NA,"Chordata","Capreolus pygargus",NA,NA,NA,"Odocoileinae",NA,NA,"Ruminantia","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Capreolus pygargus"
944,"Capreolus sp.","genus","9857","Mammalia",NA,"Cervidae","Capreolus",NA,"Pecora","Metazoa","Laurasiatheria",NA,"Chordata",NA,NA,NA,NA,"Odocoileinae",NA,NA,"Ruminantia","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Capreolus sp."
945,"Capricornis crispus","species","9966","Mammalia",NA,"Bovidae","Capricornis",NA,"Pecora","Metazoa","Laurasiatheria",NA,"Chordata","Capricornis crispus",NA,NA,NA,"Caprinae",NA,NA,"Ruminantia","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Capricornis crispus"
946,"Capromys sp.","genus","34841","Mammalia",NA,"Capromyidae","Capromys",NA,NA,"Metazoa","Rodentia",NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,"Hystricomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Capromys sp."
947,"Caracal caracal","species","61394","Mammalia",NA,"Felidae","Caracal",NA,NA,"Metazoa","Carnivora",NA,"Chordata","Caracal caracal",NA,NA,NA,"Felinae",NA,NA,"Feliformia","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Felis caracal"
948,"Caranx malabaricus","genus","8158","Actinopteri","Euteleosteomorpha","Carangidae","Caranx","Teleostei",NA,"Metazoa","Carangiformes",NA,"Chordata",NA,NA,"Neopterygii",NA,NA,NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Caranx malabaricus"
949,"Caranx sexfasciatus","species","173346","Actinopteri","Euteleosteomorpha","Carangidae","Caranx","Teleostei",NA,"Metazoa","Carangiformes",NA,"Chordata","Caranx sexfasciatus",NA,"Neopterygii",NA,NA,NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Caranx sexfasciatus"
950,"Carasobarbus luteus","species","116037","Actinopteri","Otomorpha","Cyprinidae","Carasobarbus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Carasobarbus luteus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Barbus luteus"
950,"Carasobarbus luteus","species","116037","Actinopteri","Otomorpha","Cyprinidae","Carasobarbus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Carasobarbus luteus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Carasobarbus luteus"
951,"Carassius auratus","species","7957","Actinopteri","Otomorpha","Cyprinidae","Carassius","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Carassius auratus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Carassius auratus"
951,"Carassius auratus","species","7957","Actinopteri","Otomorpha","Cyprinidae","Carassius","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Carassius auratus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Carassius auratus gibelio"
952,"Carassius carassius","species","217509","Actinopteri","Otomorpha","Cyprinidae","Carassius","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Carassius carassius",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Carassius carassius"
952,"Carassius carassius","species","217509","Actinopteri","Otomorpha","Cyprinidae","Carassius","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Carassius carassius",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Carassius carassius langsdorfii"
953,"Carassius gibelio","species","101364","Actinopteri","Otomorpha","Cyprinidae","Carassius","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Carassius gibelio",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Carassius gibelio"
954,"Carassius sp.","genus","7956","Actinopteri","Otomorpha","Cyprinidae","Carassius","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata",NA,NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Carassius sp."
955,"Carcharhinus brevipinna","species","263685","Chondrichthyes",NA,"Carcharhinidae","Carcharhinus","Selachii",NA,"Metazoa","Carcharhiniformes",NA,"Chordata","Carcharhinus brevipinna",NA,"Elasmobranchii",NA,NA,NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Galeoidea",NA,"Carcharhinus brevipinna"
956,"Carcharhinus isodon","species","303934","Chondrichthyes",NA,"Carcharhinidae","Carcharhinus","Selachii",NA,"Metazoa","Carcharhiniformes",NA,"Chordata","Carcharhinus isodon",NA,"Elasmobranchii",NA,NA,NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Galeoidea",NA,"Carcharhinus isodon"
957,"Carcharhinus leucas","species","46612","Chondrichthyes",NA,"Carcharhinidae","Carcharhinus","Selachii",NA,"Metazoa","Carcharhiniformes",NA,"Chordata","Carcharhinus leucas",NA,"Elasmobranchii",NA,NA,NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Galeoidea",NA,"Carcharhinus leucas"
958,"Carcharhinus limbatus","species","61865","Chondrichthyes",NA,"Carcharhinidae","Carcharhinus","Selachii",NA,"Metazoa","Carcharhiniformes",NA,"Chordata","Carcharhinus limbatus",NA,"Elasmobranchii",NA,NA,NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Galeoidea",NA,"Carcharhinus limbatus"
959,"Carcharhinus melanopterus","species","263686","Chondrichthyes",NA,"Carcharhinidae","Carcharhinus","Selachii",NA,"Metazoa","Carcharhiniformes",NA,"Chordata","Carcharhinus melanopterus",NA,"Elasmobranchii",NA,NA,NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Galeoidea",NA,"Carcharhinus melanopterus"
960,"Carcharhinus parasorah","genus","7806","Chondrichthyes",NA,"Carcharhinidae","Carcharhinus","Selachii",NA,"Metazoa","Carcharhiniformes",NA,"Chordata",NA,NA,"Elasmobranchii",NA,NA,NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Galeoidea",NA,"Carcharhinus parasorah"
961,"Carcharhinus sealei","species","495833","Chondrichthyes",NA,"Carcharhinidae","Carcharhinus","Selachii",NA,"Metazoa","Carcharhiniformes",NA,"Chordata","Carcharhinus sealei",NA,"Elasmobranchii",NA,NA,NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Galeoidea",NA,"Carcharhinus seali"
962,"Carcharodon carcharias","species","13397","Chondrichthyes",NA,"Alopiidae","Carcharodon","Selachii",NA,"Metazoa","Lamniformes",NA,"Chordata","Carcharodon carcharias",NA,"Elasmobranchii",NA,"Lamninae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Galeoidea",NA,"Carcharodon carcharias"
963,"Carcinus maenas","species","6759","Malacostraca",NA,"Carcinidae","Carcinus",NA,"Brachyura","Metazoa","Decapoda",NA,"Arthropoda","Carcinus maenas",NA,"Eumalacostraca",NA,NA,NA,NA,"Pleocyemata","Crustacea",NA,"Multicrustacea","Portunoidea","Eukaryota","Eucarida",NA,"Carcinus maenas"
964,"Cardellina canadensis","species","182910","Aves",NA,"Parulidae","Cardellina","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Cardellina canadensis",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Passeroidea","Eukaryota",NA,NA,"Wilsonia canadensis"
965,"Cardinalis cardinalis","species","98964","Aves",NA,"Fringillidae","Cardinalis","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Cardinalis cardinalis",NA,NA,NA,"Emberizinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii","Passeroidea","Eukaryota",NA,"Cardinalini","Cardinalis cardinalis"
966,"Careproctus rastrinus","species","446788","Actinopteri","Euteleosteomorpha","Liparidae","Careproctus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Careproctus rastrinus",NA,"Neopterygii",NA,NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Careproctus rastrinus"
967,"Careproctus roseofuscus","species","1642159","Actinopteri","Euteleosteomorpha","Liparidae","Careproctus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Careproctus roseofuscus",NA,"Neopterygii",NA,NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Careproctus roseofuscus"
968,"Careproctus sp.","genus","274784","Actinopteri","Euteleosteomorpha","Liparidae","Careproctus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata",NA,NA,"Neopterygii",NA,NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Careproctus sp."
969,"Careproctus trachysoma","species","1480179","Actinopteri","Euteleosteomorpha","Liparidae","Careproctus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Careproctus trachysoma",NA,"Neopterygii",NA,NA,NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Careproctus trachysoma"
970,"Caretta caretta","species","8467","Craniata",NA,"Cheloniidae","Caretta",NA,NA,"Metazoa","Testudines",NA,"Chordata","Caretta caretta",NA,NA,NA,NA,NA,NA,"Cryptodira","Craniata",NA,"Sarcopterygii","Chelonioidea","Eukaryota",NA,NA,"Caretta caretta"
970,"Caretta caretta","species","8467","Craniata",NA,"Cheloniidae","Caretta",NA,NA,"Metazoa","Testudines",NA,"Chordata","Caretta caretta",NA,NA,NA,NA,NA,NA,"Cryptodira","Craniata",NA,"Sarcopterygii","Chelonioidea","Eukaryota",NA,NA,"Thalassochelys caretta"
971,"Carpiodes carpio","species","154811","Actinopteri","Otomorpha","Catostomidae","Carpiodes","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Carpiodes carpio",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Catostomoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Carpiodes carpio"
972,"Carpiodes cyprinus","species","244777","Actinopteri","Otomorpha","Catostomidae","Carpiodes","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Carpiodes cyprinus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Catostomoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Carpiodes cyprinus"
973,"Carpiodes velifer","species","425486","Actinopteri","Otomorpha","Catostomidae","Carpiodes","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Carpiodes velifer",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Catostomoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Carpiodes velifer"
974,"Carpophilus dimidiatus","species","913117","Insecta","Holometabola","Nitidulidae","Carpophilus","Neoptera","Cucujiformia","Metazoa","Coleoptera",NA,"Arthropoda","Carpophilus dimidiatus",NA,"Pterygota",NA,"Carpophilinae",NA,NA,"Polyphaga","Hexapoda",NA,NA,"Cucujoidea","Eukaryota",NA,NA,"Carpophilus dimidiatus"
976,"Caspiomyzon wagneri","species","682871","Craniata",NA,"Petromyzontidae","Caspiomyzon",NA,NA,"Metazoa","Petromyzontiformes",NA,"Chordata","Caspiomyzon wagneri",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota",NA,NA,"Caspiomyzon wagneri caspius"
977,"Castor canadensis","species","51338","Mammalia",NA,"Castoridae","Castor",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Castor canadensis",NA,NA,NA,NA,NA,NA,"Castorimorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Castor canadensis"
978,"Castor fiber","species","10185","Mammalia",NA,"Castoridae","Castor",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Castor fiber",NA,NA,NA,NA,NA,NA,"Castorimorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Castor fiber"
978,"Castor fiber","species","10185","Mammalia",NA,"Castoridae","Castor",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Castor fiber",NA,NA,NA,NA,NA,NA,"Castorimorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Castor fiber albicus"
979,"Catharsius pithecius","genus","206817","Insecta","Holometabola","Scarabaeidae","Catharsius","Neoptera","Scarabaeiformia","Metazoa","Coleoptera",NA,"Arthropoda",NA,NA,"Pterygota",NA,"Scarabaeinae",NA,NA,"Polyphaga","Hexapoda",NA,NA,"Scarabaeoidea","Eukaryota",NA,NA,"Catharsius pithecius"
980,"Catharsius sp.","genus","206817","Insecta","Holometabola","Scarabaeidae","Catharsius","Neoptera","Scarabaeiformia","Metazoa","Coleoptera",NA,"Arthropoda",NA,NA,"Pterygota",NA,"Scarabaeinae",NA,NA,"Polyphaga","Hexapoda",NA,NA,"Scarabaeoidea","Eukaryota",NA,NA,"Catharsius sp."
981,"Catharus fuscescens","species","159581","Aves",NA,"Turdidae","Catharus","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Catharus fuscescens",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Catharus fuscescens"
982,"Catharus guttatus","species","9185","Aves",NA,"Turdidae","Catharus","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Catharus guttatus",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Catharus guttatus"
983,"Catharus ustulatus","species","91951","Aves",NA,"Turdidae","Catharus","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Catharus ustulatus",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Catharus ustulatus"
984,"Cathorops fuerthii","species","419330","Actinopteri","Otomorpha","Ariidae","Cathorops","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Cathorops fuerthii",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Cathorops fuerthi"
984,"Cathorops fuerthii","species","419330","Actinopteri","Otomorpha","Ariidae","Cathorops","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Cathorops fuerthii",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Cathorops fuerthii"
985,"Cathorops melanopus","species","1077199","Actinopteri","Otomorpha","Ariidae","Cathorops","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Cathorops melanopus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA,"Cathorops melanopus"
986,"Catinella sp.","genus","213574","Gastropoda",NA,"Succineidae","Catinella",NA,NA,"Metazoa","Stylommatophora",NA,"Mollusca",NA,NA,"Heterobranchia",NA,NA,NA,NA,NA,NA,NA,NA,"Succineoidea","Eukaryota","Eupulmonata",NA,"Catinella sp."
987,"Catla catla","genus","72445","Actinopteri","Otomorpha","Cyprinidae","Catla","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata",NA,NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Catla catla"
988,"Catops sp.","genus","290665","Insecta","Holometabola","Leiodidae","Catops","Neoptera","Staphyliniformia","Metazoa","Coleoptera",NA,"Arthropoda",NA,NA,"Pterygota",NA,"Cholevinae",NA,NA,"Polyphaga","Hexapoda",NA,NA,"Staphylinoidea","Eukaryota",NA,NA,"Catops sp."
990,"Catostomus ardens","species","369345","Actinopteri","Otomorpha","Catostomidae","Catostomus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Catostomus ardens",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Catostomoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Catostomus ardens"
991,"Catostomus catostomus","species","43956","Actinopteri","Otomorpha","Catostomidae","Catostomus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Catostomus catostomus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Catostomoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Catostomus catostomus"
992,"Catostomus commersonii","species","7971","Actinopteri","Otomorpha","Catostomidae","Catostomus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Catostomus commersonii",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Catostomoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Catostomus commersoni"
992,"Catostomus commersonii","species","7971","Actinopteri","Otomorpha","Catostomidae","Catostomus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Catostomus commersonii",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Catostomoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Catostomus commersonii"
993,"Catostomus discobolus","species","436679","Actinopteri","Otomorpha","Catostomidae","Catostomus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Catostomus discobolus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Catostomoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Catostomus discobolus"
994,"Catostomus latipinnis","species","522486","Actinopteri","Otomorpha","Catostomidae","Catostomus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Catostomus latipinnis",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Catostomoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Catostomus latipinnis"
995,"Catostomus macrocheilus","species","43957","Actinopteri","Otomorpha","Catostomidae","Catostomus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Catostomus macrocheilus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Catostomoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Catostomus macrocheilus"
996,"Catostomus occidentalis","species","196749","Actinopteri","Otomorpha","Catostomidae","Catostomus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Catostomus occidentalis",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Catostomoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Catostomus occidentalis"
997,"Catostomus sp.","genus","7969","Actinopteri","Otomorpha","Catostomidae","Catostomus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata",NA,NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Catostomoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Catostomus sp."
998,"Causus rhombeatus","species","44735","Craniata",NA,"Viperidae","Causus",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata","Causus rhombeatus",NA,NA,NA,"Viperinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii","Colubroidea","Eukaryota","Lepidosauria",NA,"Causus rhombeatus"
999,"Cavia porcellus","species","10141","Mammalia",NA,"Caviidae","Cavia",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Cavia porcellus",NA,NA,NA,NA,NA,NA,"Hystricomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Cavia porcellus"
1001,"Cebus capucinus","species","9516","Mammalia",NA,"Cebidae","Cebus",NA,"Simiiformes","Metazoa","Primates","Platyrrhini","Chordata","Cebus capucinus",NA,NA,NA,"Cebinae",NA,NA,"Haplorrhini","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Cebus capucinus"
1002,"Centroberyx affinis","species","166261","Actinopteri","Euteleosteomorpha","Berycidae","Centroberyx","Teleostei",NA,"Metazoa","Beryciformes",NA,"Chordata","Centroberyx affinis",NA,"Neopterygii",NA,NA,NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Centroberyx affinis"
1003,"Centrolabrus exoletus","species","171732","Actinopteri","Euteleosteomorpha","Labridae","Centrolabrus","Teleostei",NA,"Metazoa","Labriformes",NA,"Chordata","Centrolabrus exoletus",NA,"Neopterygii",NA,NA,NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Centrolabrus exoletus"
1004,"Centropages hamatus","species","136183","Hexanauplia",NA,"Centropagidae","Centropages","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Centropages hamatus",NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Gymnoplea",NA,"Centropages hamatus"
1005,"Centropages sp.","genus","136182","Hexanauplia",NA,"Centropagidae","Centropages","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Gymnoplea",NA,"Centropages sp."
1006,"Centropages typicus","species","463189","Hexanauplia",NA,"Centropagidae","Centropages","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Centropages typicus",NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Gymnoplea",NA,"Centropages typicus"
1007,"Centrophorus squamosus","species","335027","Chondrichthyes",NA,"Centrophoridae","Centrophorus","Selachii",NA,"Metazoa","Squaliformes",NA,"Chordata","Centrophorus squamosus",NA,"Elasmobranchii",NA,NA,NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota",NA,NA,"Centrophorus squamosus"
1008,"Centropomus nigrescens","species","56560","Actinopteri","Euteleosteomorpha","Centropomidae","Centropomus","Teleostei",NA,"Metazoa","Neopterygii",NA,"Chordata","Centropomus nigrescens",NA,"Neopterygii",NA,NA,NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Centropomus nigrescens"
1009,"Centropomus parallelus","species","28805","Actinopteri","Euteleosteomorpha","Centropomidae","Centropomus","Teleostei",NA,"Metazoa","Neopterygii",NA,"Chordata","Centropomus parallelus",NA,"Neopterygii",NA,NA,NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Centropomus parallelus"
1010,"Centropomus undecimalis","species","28806","Actinopteri","Euteleosteomorpha","Centropomidae","Centropomus","Teleostei",NA,"Metazoa","Neopterygii",NA,"Chordata","Centropomus undecimalis",NA,"Neopterygii",NA,NA,NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Centropomus undecimalis"
1011,"Centropristis striata","species","184440","Actinopteri","Euteleosteomorpha","Serranidae","Centropristis","Teleostei",NA,"Metazoa","Perciformes",NA,"Chordata","Centropristis striata",NA,"Neopterygii",NA,"Serraninae",NA,NA,"Serranoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Centropristis striata"
1012,"Centrostephanus coronatus","species","39286","Echinoidea",NA,"Diadematidae","Centrostephanus","Acroechinoidea",NA,"Metazoa","Diadematoida",NA,"Echinodermata","Centrostephanus coronatus",NA,"Euechinoidea",NA,NA,NA,NA,NA,NA,NA,"Echinozoa",NA,"Eukaryota",NA,NA,"Centrostephanus coronatus"
1014,"Cepaea hortensis","species","97200","Gastropoda",NA,"Helicidae","Cepaea",NA,NA,"Metazoa","Stylommatophora",NA,"Mollusca","Cepaea hortensis",NA,"Heterobranchia",NA,NA,NA,NA,NA,NA,NA,NA,"Helicoidea","Eukaryota","Eupulmonata",NA,"Cepaea hortensis"
1015,"Cepaea nemoralis","species","28835","Gastropoda",NA,"Helicidae","Cepaea",NA,NA,"Metazoa","Stylommatophora",NA,"Mollusca","Cepaea nemoralis",NA,"Heterobranchia",NA,NA,NA,NA,NA,NA,NA,NA,"Helicoidea","Eukaryota","Eupulmonata",NA,"Cepaea nemoralis"
1016,"Cepaea sp.","genus","28834","Gastropoda",NA,"Helicidae","Cepaea",NA,NA,"Metazoa","Stylommatophora",NA,"Mollusca",NA,NA,"Heterobranchia",NA,NA,NA,NA,NA,NA,NA,NA,"Helicoidea","Eukaryota","Eupulmonata",NA,"Cepaea sp."
1017,"Cepaea vindobonensis","genus","28834","Gastropoda",NA,"Helicidae","Cepaea",NA,NA,"Metazoa","Stylommatophora",NA,"Mollusca",NA,NA,"Heterobranchia",NA,NA,NA,NA,NA,NA,NA,NA,"Helicoidea","Eukaryota","Eupulmonata",NA,"Cepaea vindobonensis"
1018,"Cephalopachus bancanus","species","9477","Mammalia",NA,"Tarsiidae","Cephalopachus",NA,"Tarsiiformes","Metazoa","Primates",NA,"Chordata","Cephalopachus bancanus",NA,NA,NA,NA,NA,NA,"Haplorrhini","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Cephalopachus bancanus"
1019,"Cephalophus natalensis","species","69299","Mammalia",NA,"Bovidae","Cephalophus",NA,"Pecora","Metazoa","Laurasiatheria",NA,"Chordata","Cephalophus natalensis",NA,NA,NA,"Cephalophinae",NA,NA,"Ruminantia","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Cephalophus natalensis"
1020,"Cephalorhynchus commersonii","species","103582","Mammalia",NA,"Delphinidae","Cephalorhynchus",NA,NA,"Metazoa","Cetacea",NA,"Chordata","Cephalorhynchus commersonii",NA,NA,NA,NA,NA,NA,"Odontoceti","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Cephalorhynchus commersonii"
1021,"Cephalorhynchus eutropia","species","27608","Mammalia",NA,"Delphinidae","Cephalorhynchus",NA,NA,"Metazoa","Cetacea",NA,"Chordata","Cephalorhynchus eutropia",NA,NA,NA,NA,NA,NA,"Odontoceti","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Cephalorhynchus eutropia"
1022,"Cepheus cepheiformis","species","1979920","Arachnida",NA,"Cepheidae","Cepheus",NA,"Brachypylina","Metazoa","Sarcoptiformes",NA,"Arthropoda","Cepheus cepheiformis",NA,"Acari",NA,NA,NA,NA,"Oribatida","Chelicerata",NA,NA,"Cepheoidea","Eukaryota","Acariformes",NA,"Cepheus cepheiformis"
