i.vec,sp.query,q.rank,ncbi.ids,class,cohort,family,genus,infraclass,infraorder,kingdom,order,parvorder,phylum,species,species group,subclass,subcohort,subfamily,subgenus,subkingdom,suborder,subphylum,subtribe,superclass,superfamily,superkingdom,superorder,tribe,host_record_lcdb_nhm
1797,Distichodus rostratus,species,1027345,Actinopteri,Otomorpha,Citharinoidei,Distichodus,Teleostei,NA,Metazoa,Characiformes,NA,Chordata,Distichodus rostratus,NA,Neopterygii,Ostariophysi,Distichodontidae,NA,NA,Citharinoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,Characiphysae,NA,Distichodus rostratus
1798,Dociostaurus brevicollis,species,1045894,Insecta,Polyneoptera,Acrididae,Dociostaurus,Neoptera,Acrididea,Metazoa,Orthoptera,NA,Arthropoda,Dociostaurus brevicollis,NA,Pterygota,NA,Gomphocerinae,NA,NA,Caelifera,Hexapoda,NA,NA,Acridoidea,Eukaryota,NA,NA,Dociostaurus brevicollis
1801,Dolerocypris fasciata,genus,114094,Ostracoda,NA,Cyprididae,Dolerocypris,NA,NA,Metazoa,Podocopida,NA,Arthropoda,NA,NA,Podocopa,NA,NA,NA,NA,Cypridocopina,Crustacea,NA,Oligostraca,Cypridoidea,Eukaryota,NA,NA,Dolerocypris fasciata
1802,Dolichophis jugularis,species,166089,Craniata,NA,Colubridae,Dolichophis,NA,Serpentes,Metazoa,Squamata,NA,Chordata,Dolichophis jugularis,NA,NA,NA,Colubrinae,NA,NA,NA,Craniata,NA,Sarcopterygii,Colubroidea,Eukaryota,Lepidosauria,NA,Coluber jugularis
1803,Dolichotis patagonica,genus,29090,Mammalia,NA,Caviidae,Dolichotis,NA,NA,Metazoa,Rodentia,NA,Chordata,NA,NA,NA,NA,NA,NA,NA,Hystricomorpha,Craniata,NA,Sarcopterygii,NA,Eukaryota,Euarchontoglires,NA,Dolichotis patagonica
1804,Dolloidraco longedorsalis,species,202058,Actinopteri,Euteleosteomorpha,Artedidraconidae,Dolloidraco,Teleostei,NA,Metazoa,Perciformes,NA,Chordata,Dolloidraco longedorsalis,NA,Neopterygii,NA,NA,NA,NA,Notothenioidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Dolloidraco longedorsalis
1806,Donax variabilis,species,61353,Bivalvia,NA,Donacidae,Donax,Euheterodonta,NA,Metazoa,Veneroida,NA,Mollusca,Donax variabilis,NA,Heterodonta,NA,NA,NA,NA,NA,NA,NA,NA,Tellinoidea,Eukaryota,NA,NA,Donax variabilis
1807,Doratogonus cristulatus,species,1403295,Diplopoda,NA,Spirostreptidae,Doratogonus,NA,NA,Metazoa,Spirostreptida,NA,Arthropoda,Doratogonus cristulatus,NA,Helminthomorpha,NA,NA,NA,NA,NA,Myriapoda,NA,NA,NA,Eukaryota,NA,NA,Doratogonus cristulatus
1808,Dorcopsis veterum,species,69268,Mammalia,NA,Macropodidae,Dorcopsis,NA,NA,Metazoa,Diprotodontia,NA,Chordata,Dorcopsis veterum,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA,Dorcopsis veterum
1809,Dormitator latifrons,species,308079,Actinopteri,Euteleosteomorpha,Eleotridae,Dormitator,Teleostei,NA,Metazoa,Gobiiformes,NA,Chordata,Dormitator latifrons,NA,Neopterygii,NA,Eleotrinae,NA,NA,Eleotroidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Dormitator latifrons
1810,Dormitator maculatus,species,86230,Actinopteri,Euteleosteomorpha,Eleotridae,Dormitator,Teleostei,NA,Metazoa,Gobiiformes,NA,Chordata,Dormitator maculatus,NA,Neopterygii,NA,Eleotrinae,NA,NA,Eleotroidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Dormitator maculatus
1811,Dorosoma cepedianum,species,336262,Actinopteri,Otomorpha,Clupeidae,Dorosoma,Teleostei,NA,Metazoa,Clupeiformes,NA,Chordata,Dorosoma cepedianum,NA,Neopterygii,Clupei,Dorosomatinae,NA,NA,Clupeoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Dorosoma cepedianum
1812,Dorosoma petenense,species,224713,Actinopteri,Otomorpha,Clupeidae,Dorosoma,Teleostei,NA,Metazoa,Clupeiformes,NA,Chordata,Dorosoma petenense,NA,Neopterygii,Clupei,Dorosomatinae,NA,NA,Clupeoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Dorosoma petenense
1813,Doru lineare,species,163243,Insecta,Polyneoptera,Forficulidae,Doru,Neoptera,NA,Metazoa,Dermaptera,NA,Arthropoda,Doru lineare,NA,Pterygota,NA,NA,NA,NA,Forficulina,Hexapoda,NA,NA,Forficuloidea,Eukaryota,NA,NA,Doru lineare
1814,Doryteuthis gahi,species,1051064,Cephalopoda,NA,Loliginidae,Doryteuthis,Neocoleoidea,NA,Metazoa,Teuthida,NA,Mollusca,Doryteuthis gahi,NA,Coleoidea,NA,NA,NA,NA,Myopsina,NA,NA,NA,NA,Eukaryota,Decapodiformes,NA,Doryteuthis gahi
1815,Doryteuthis pealeii,species,1051067,Cephalopoda,NA,Loliginidae,Doryteuthis,Neocoleoidea,NA,Metazoa,Teuthida,NA,Mollusca,Doryteuthis pealeii,NA,Coleoidea,NA,NA,NA,NA,Myopsina,NA,NA,NA,NA,Eukaryota,Decapodiformes,NA,Loligo paeleii
1815,Doryteuthis pealeii,species,1051067,Cephalopoda,NA,Loliginidae,Doryteuthis,Neocoleoidea,NA,Metazoa,Teuthida,NA,Mollusca,Doryteuthis pealeii,NA,Coleoidea,NA,NA,NA,NA,Myopsina,NA,NA,NA,NA,Eukaryota,Decapodiformes,NA,Loligo pealeii
1816,Dosidicus gigas,species,346249,Cephalopoda,NA,Ommastrephidae,Dosidicus,Neocoleoidea,NA,Metazoa,Teuthida,NA,Mollusca,Dosidicus gigas,NA,Coleoidea,NA,NA,NA,NA,Oegopsina,NA,NA,NA,NA,Eukaryota,Decapodiformes,NA,Dosidicus gigas
1817,Dremomys rufigenis,species,226546,Mammalia,NA,Sciuridae,Dremomys,NA,NA,Metazoa,Rodentia,NA,Chordata,Dremomys rufigenis,NA,NA,NA,Callosciurinae,NA,NA,Sciuromorpha,Craniata,NA,Sarcopterygii,NA,Eukaryota,Euarchontoglires,Callosciurini,Dremomys rufigenis
1818,Drepanura loennbergi,genus,1304857,Collembola,NA,Entomobryidae,Drepanura,NA,NA,Metazoa,Entomobryomorpha,NA,Arthropoda,NA,NA,NA,NA,Entomobryinae,NA,NA,NA,Hexapoda,NA,NA,Entomobryoidea,Eukaryota,NA,NA,Drepanura loennbergi
1819,Dromaius novaehollandiae,species,8790,Aves,NA,Dromaiidae,Dromaius,NA,NA,Metazoa,Casuariiformes,NA,Chordata,Dromaius novaehollandiae,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,Palaeognathae,NA,Dromaius novaehollandiae
1821,Drymarchon corais,species,186583,Craniata,NA,Colubridae,Drymarchon,NA,Serpentes,Metazoa,Squamata,NA,Chordata,Drymarchon corais,NA,NA,NA,Colubrinae,NA,NA,NA,Craniata,NA,Sarcopterygii,Colubroidea,Eukaryota,Lepidosauria,NA,Drymarchon corais couperi
1822,Dryomys nitedula,species,55145,Mammalia,NA,Gliridae,Dryomys,NA,NA,Metazoa,Rodentia,NA,Chordata,Dryomys nitedula,NA,NA,NA,Leithiinae,NA,NA,Sciuromorpha,Craniata,NA,Sarcopterygii,NA,Eukaryota,Euarchontoglires,NA,Dryomys nitedula
1823,Duroniella sp.,genus,355401,Insecta,Polyneoptera,Acrididae,Duroniella,Neoptera,Acrididea,Metazoa,Orthoptera,NA,Arthropoda,NA,NA,Pterygota,NA,Oedipodinae,NA,NA,Caelifera,Hexapoda,NA,NA,Acridoidea,Eukaryota,NA,NA,Duroniella sp.
1824,Dusicyon culpaeus,genus,9619,Mammalia,NA,Canidae,Dusicyon,NA,NA,Metazoa,Carnivora,NA,Chordata,NA,NA,NA,NA,NA,NA,NA,Caniformia,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Dusicyon culpaeus
1825,Dusicyon griseus,genus,9619,Mammalia,NA,Canidae,Dusicyon,NA,NA,Metazoa,Carnivora,NA,Chordata,NA,NA,NA,NA,NA,NA,NA,Caniformia,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Dusicyon griseus
1826,Dusicyon gymnocercus,genus,9619,Mammalia,NA,Canidae,Dusicyon,NA,NA,Metazoa,Carnivora,NA,Chordata,NA,NA,NA,NA,NA,NA,NA,Caniformia,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Dusicyon gymnocercus
1827,Dusicyon sp.,genus,9619,Mammalia,NA,Canidae,Dusicyon,NA,NA,Metazoa,Carnivora,NA,Chordata,NA,NA,NA,NA,NA,NA,NA,Caniformia,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Dusicyon sp.
1828,Dusicyon vetulus,genus,9619,Mammalia,NA,Canidae,Dusicyon,NA,NA,Metazoa,Carnivora,NA,Chordata,NA,NA,NA,NA,NA,NA,NA,Caniformia,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Dusicyon vetulus
1829,Duttaphrynus melanostictus,species,30335,Amphibia,NA,Bufonidae,Duttaphrynus,NA,NA,Metazoa,Anura,NA,Chordata,Duttaphrynus melanostictus,NA,NA,NA,NA,NA,NA,Neobatrachia,Craniata,NA,Sarcopterygii,Hyloidea,Eukaryota,Batrachia,NA,Bufo melanostictus
1829,Duttaphrynus melanostictus,species,30335,Amphibia,NA,Bufonidae,Duttaphrynus,NA,NA,Metazoa,Anura,NA,Chordata,Duttaphrynus melanostictus,NA,NA,NA,NA,NA,NA,Neobatrachia,Craniata,NA,Sarcopterygii,Hyloidea,Eukaryota,Batrachia,NA,Duttaphrynus melanostictus
1830,Eccoptura xanthenes,species,466689,Insecta,Polyneoptera,Perlidae,Eccoptura,Neoptera,NA,Metazoa,Plecoptera,NA,Arthropoda,Eccoptura xanthenes,NA,Pterygota,NA,Acroneuriinae,NA,NA,NA,Hexapoda,NA,NA,Perloidea,Eukaryota,NA,NA,Acroneuria brevicauda
1831,Ecdyonurus aurantiacus,species,2014014,Insecta,NA,Heptageniidae,Ecdyonurus,Palaeoptera,NA,Metazoa,Ephemeroptera,NA,Arthropoda,Ecdyonurus aurantiacus,NA,Pterygota,NA,NA,NA,NA,Setisura,Hexapoda,NA,NA,NA,Eukaryota,NA,NA,Ecdyonorus aurantiacus
1832,Ecdyonurus dispar,species,309577,Insecta,NA,Heptageniidae,Ecdyonurus,Palaeoptera,NA,Metazoa,Ephemeroptera,NA,Arthropoda,Ecdyonurus dispar,NA,Pterygota,NA,NA,NA,NA,Setisura,Hexapoda,NA,NA,NA,Eukaryota,NA,NA,Ecdyonorus dispar
1832,Ecdyonurus dispar,species,309577,Insecta,NA,Heptageniidae,Ecdyonurus,Palaeoptera,NA,Metazoa,Ephemeroptera,NA,Arthropoda,Ecdyonurus dispar,NA,Pterygota,NA,NA,NA,NA,Setisura,Hexapoda,NA,NA,NA,Eukaryota,NA,NA,Ecdyonurus dispar
1833,Echeneis naucrates,species,173247,Actinopteri,Euteleosteomorpha,Echeneidae,Echeneis,Teleostei,NA,Metazoa,Carangiformes,NA,Chordata,Echeneis naucrates,NA,Neopterygii,NA,NA,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Echeneis naucrates
1834,Echiichthys vipera,species,94984,Actinopteri,Euteleosteomorpha,Trachinidae,Echiichthys,Teleostei,NA,Metazoa,Perciformes,NA,Chordata,Echiichthys vipera,NA,Neopterygii,NA,NA,NA,NA,Percoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Echiichthys vipera
1834,Echiichthys vipera,species,94984,Actinopteri,Euteleosteomorpha,Trachinidae,Echiichthys,Teleostei,NA,Metazoa,Perciformes,NA,Chordata,Echiichthys vipera,NA,Neopterygii,NA,NA,NA,NA,Percoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Trachinus vipera
1835,Echinococcus granularus,genus,6209,Cestoda,NA,Taeniidae,Echinococcus,NA,NA,Metazoa,Cyclophyllidea,NA,Platyhelminthes,NA,NA,Eucestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA,Echinococcus granularis
1836,Echinogammarus baicalensis,genus,248952,Malacostraca,NA,Gammaridae,Echinogammarus,NA,Gammarida,Metazoa,Amphipoda,Gammaridira,Arthropoda,NA,NA,Eumalacostraca,NA,NA,NA,NA,Senticaudata,Crustacea,NA,Multicrustacea,Gammaroidea,Eukaryota,Peracarida,NA,Echinogammarus baicalensis
1837,Echinogammarus obtusatus,species,2153187,Malacostraca,NA,Gammaridae,Echinogammarus,NA,Gammarida,Metazoa,Amphipoda,Gammaridira,Arthropoda,Echinogammarus obtusatus,NA,Eumalacostraca,NA,NA,NA,NA,Senticaudata,Crustacea,NA,Multicrustacea,Gammaroidea,Eukaryota,Peracarida,NA,Marinogammarus obtusatus
1838,Echinogammarus olivii,genus,248952,Malacostraca,NA,Gammaridae,Echinogammarus,NA,Gammarida,Metazoa,Amphipoda,Gammaridira,Arthropoda,NA,NA,Eumalacostraca,NA,NA,NA,NA,Senticaudata,Crustacea,NA,Multicrustacea,Gammaroidea,Eukaryota,Peracarida,NA,Gammarus olivii
1839,Echinogammarus pirloti,genus,248952,Malacostraca,NA,Gammaridae,Echinogammarus,NA,Gammarida,Metazoa,Amphipoda,Gammaridira,Arthropoda,NA,NA,Eumalacostraca,NA,NA,NA,NA,Senticaudata,Crustacea,NA,Multicrustacea,Gammaroidea,Eukaryota,Peracarida,NA,Marinogammarus pirloti
1840,Echinogammarus pungens,species,1522903,Malacostraca,NA,Gammaridae,Echinogammarus,NA,Gammarida,Metazoa,Amphipoda,Gammaridira,Arthropoda,Echinogammarus pungens,NA,Eumalacostraca,NA,NA,NA,NA,Senticaudata,Crustacea,NA,Multicrustacea,Gammaroidea,Eukaryota,Peracarida,NA,Echinogammarus pungens
1841,Echinogammarus stammeri,species,1522905,Malacostraca,NA,Gammaridae,Echinogammarus,NA,Gammarida,Metazoa,Amphipoda,Gammaridira,Arthropoda,Echinogammarus stammeri,NA,Eumalacostraca,NA,NA,NA,NA,Senticaudata,Crustacea,NA,Multicrustacea,Gammaroidea,Eukaryota,Peracarida,NA,Echinogammarus stammeri
1842,Echinogammarus tibaldi,genus,248952,Malacostraca,NA,Gammaridae,Echinogammarus,NA,Gammarida,Metazoa,Amphipoda,Gammaridira,Arthropoda,NA,NA,Eumalacostraca,NA,NA,NA,NA,Senticaudata,Crustacea,NA,Multicrustacea,Gammaroidea,Eukaryota,Peracarida,NA,Echinogammarus tibaldi
1843,Echinogammarus tibaldii,species,1522908,Malacostraca,NA,Gammaridae,Echinogammarus,NA,Gammarida,Metazoa,Amphipoda,Gammaridira,Arthropoda,Echinogammarus tibaldii,NA,Eumalacostraca,NA,NA,NA,NA,Senticaudata,Crustacea,NA,Multicrustacea,Gammaroidea,Eukaryota,Peracarida,NA,Echinogammarus roco
1843,Echinogammarus tibaldii,species,1522908,Malacostraca,NA,Gammaridae,Echinogammarus,NA,Gammarida,Metazoa,Amphipoda,Gammaridira,Arthropoda,Echinogammarus tibaldii,NA,Eumalacostraca,NA,NA,NA,NA,Senticaudata,Crustacea,NA,Multicrustacea,Gammaroidea,Eukaryota,Peracarida,NA,Echinogammarus tibaldii
1844,Echinosorex gymnurus,genus,162629,Mammalia,NA,Erinaceidae,Echinosorex,NA,NA,Metazoa,Eulipotyphla,NA,Chordata,NA,NA,NA,NA,Galericinae,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Echinosorex gymnurus
1845,Echiopsis curta,species,529692,Craniata,NA,Hydrophiidae,Echiopsis,NA,Serpentes,Metazoa,Squamata,NA,Chordata,Echiopsis curta,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,Colubroidea,Eukaryota,Lepidosauria,NA,Echiopsis curta
1846,Echis carinatus,species,40353,Craniata,NA,Viperidae,Echis,NA,Serpentes,Metazoa,Squamata,NA,Chordata,Echis carinatus,NA,NA,NA,Viperinae,NA,NA,NA,Craniata,NA,Sarcopterygii,Colubroidea,Eukaryota,Lepidosauria,NA,Echis carinatus
1847,Echis coloratus,species,64175,Craniata,NA,Viperidae,Echis,NA,Serpentes,Metazoa,Squamata,NA,Chordata,Echis coloratus,NA,NA,NA,Viperinae,NA,NA,NA,Craniata,NA,Sarcopterygii,Colubroidea,Eukaryota,Lepidosauria,NA,Echis coloratus
1848,Echis multisquamatus,species,93050,Craniata,NA,Viperidae,Echis,NA,Serpentes,Metazoa,Squamata,NA,Chordata,Echis multisquamatus,NA,NA,NA,Viperinae,NA,NA,NA,Craniata,NA,Sarcopterygii,Colubroidea,Eukaryota,Lepidosauria,NA,Echis multisquamatus
1849,Eclectochromis ornatus,species,526960,Actinopteri,Euteleosteomorpha,Cichlidae,Eclectochromis,Teleostei,NA,Metazoa,Cichliformes,NA,Chordata,Eclectochromis ornatus,NA,Neopterygii,NA,Pseudocrenilabrinae,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,Cichlomorphae,Haplochromini,Cichlasoma festivum
1853,Ectocyclops phaleratus,species,938095,Hexanauplia,NA,Cyclopidae,Ectocyclops,Neocopepoda,NA,Metazoa,Cyclopoida,NA,Arthropoda,Ectocyclops phaleratus,NA,Copepoda,NA,NA,NA,NA,NA,Crustacea,NA,Multicrustacea,NA,Eukaryota,Podoplea,NA,Cyclops phaleratus
1853,Ectocyclops phaleratus,species,938095,Hexanauplia,NA,Cyclopidae,Ectocyclops,Neocopepoda,NA,Metazoa,Cyclopoida,NA,Arthropoda,Ectocyclops phaleratus,NA,Copepoda,NA,NA,NA,NA,NA,Crustacea,NA,Multicrustacea,NA,Eukaryota,Podoplea,NA,Ectocyclops phaleratus
1855,Edotia montosa,genus,587166,Malacostraca,NA,Idoteidae,Edotia,NA,NA,Metazoa,Isopoda,NA,Arthropoda,NA,NA,Eumalacostraca,NA,NA,NA,NA,Valvifera,Crustacea,NA,Multicrustacea,NA,Eukaryota,Peracarida,NA,Edotea montosa
1856,Egretta caerulea,species,110682,Aves,NA,Ardeidae,Egretta,Neognathae,NA,Metazoa,Pelecaniformes,NA,Chordata,Egretta caerulea,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA,Egretta caerulea
1857,Egretta garzetta,species,188379,Aves,NA,Ardeidae,Egretta,Neognathae,NA,Metazoa,Pelecaniformes,NA,Chordata,Egretta garzetta,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA,Egretta garzetta
1857,Egretta garzetta,species,188379,Aves,NA,Ardeidae,Egretta,Neognathae,NA,Metazoa,Pelecaniformes,NA,Chordata,Egretta garzetta,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA,Egretta garzetta garzetta
1858,Egretta intermedia,genus,56073,Aves,NA,Ardeidae,Egretta,Neognathae,NA,Metazoa,Pelecaniformes,NA,Chordata,NA,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA,Egretta intermedia
1859,Egretta rufescens,species,56074,Aves,NA,Ardeidae,Egretta,Neognathae,NA,Metazoa,Pelecaniformes,NA,Chordata,Egretta rufescens,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA,Egretta rufescens
1860,Egretta thula,species,110681,Aves,NA,Ardeidae,Egretta,Neognathae,NA,Metazoa,Pelecaniformes,NA,Chordata,Egretta thula,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA,Egretta thula
1861,Egretta tricolor,species,110683,Aves,NA,Ardeidae,Egretta,Neognathae,NA,Metazoa,Pelecaniformes,NA,Chordata,Egretta tricolor,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA,Egretta tricolor
1862,Eira barbara,species,204263,Mammalia,NA,Mustelidae,Eira,NA,NA,Metazoa,Carnivora,NA,Chordata,Eira barbara,NA,NA,NA,Martinae,NA,NA,Caniformia,Craniata,NA,Sarcopterygii,NA,Eukaryota,Laurasiatheria,NA,Eira barbara
1863,Eisenia balatonica,species,1302598,Clitellata,NA,Lumbricidae,Eisenia,NA,NA,Metazoa,Haplotaxida,NA,Annelida,Eisenia balatonica,NA,Oligochaeta,NA,Lumbricinae,NA,NA,Lumbricina,NA,NA,NA,NA,Eukaryota,NA,NA,Eisenia ukrainae
1864,Eisenia fetida,species,6396,Clitellata,NA,Lumbricidae,Eisenia,NA,NA,Metazoa,Haplotaxida,NA,Annelida,Eisenia fetida,NA,Oligochaeta,NA,Lumbricinae,NA,NA,Lumbricina,NA,NA,NA,NA,Eukaryota,NA,NA,Eisenia fetida
1864,Eisenia fetida,species,6396,Clitellata,NA,Lumbricidae,Eisenia,NA,NA,Metazoa,Haplotaxida,NA,Annelida,Eisenia fetida,NA,Oligochaeta,NA,Lumbricinae,NA,NA,Lumbricina,NA,NA,NA,NA,Eukaryota,NA,NA,Eisenia foetida
1865,Eisenia nordenskioldi,species,538895,Clitellata,NA,Lumbricidae,Eisenia,NA,NA,Metazoa,Haplotaxida,NA,Annelida,Eisenia nordenskioldi,NA,Oligochaeta,NA,Lumbricinae,NA,NA,Lumbricina,NA,NA,NA,NA,Eukaryota,NA,NA,Eisenia nordenskioldi
1866,Eisenia tetraedra,genus,6393,Clitellata,NA,Lumbricidae,Eisenia,NA,NA,Metazoa,Haplotaxida,NA,Annelida,NA,NA,Oligochaeta,NA,Lumbricinae,NA,NA,Lumbricina,NA,NA,NA,NA,Eukaryota,NA,NA,Eisenia tetraedra
1867,Eiseniella nordenskioldi,genus,1302608,Clitellata,NA,Lumbricidae,Eiseniella,NA,NA,Metazoa,Haplotaxida,NA,Annelida,NA,NA,Oligochaeta,NA,Lumbricinae,NA,NA,Lumbricina,NA,NA,NA,NA,Eukaryota,NA,NA,Eiseniella nordenskioldi
1868,Eiseniella tetraedra,species,1302610,Clitellata,NA,Lumbricidae,Eiseniella,NA,NA,Metazoa,Haplotaxida,NA,Annelida,Eiseniella tetraedra,NA,Oligochaeta,NA,Lumbricinae,NA,NA,Lumbricina,NA,NA,NA,NA,Eukaryota,NA,NA,Eiseniella tetraedra
1869,Elanoides forficatus,species,192873,Aves,NA,Accipitridae,Elanoides,Neognathae,NA,Metazoa,Accipitriformes,NA,Chordata,Elanoides forficatus,NA,NA,NA,Accipitrinae,NA,NA,NA,Craniata,NA,Sarcopterygii,NA,Eukaryota,NA,NA,Elanoides forficatus
1870,Elaphe dione,species,122936,Craniata,NA,Colubridae,Elaphe,NA,Serpentes,Metazoa,Squamata,NA,Chordata,Elaphe dione,NA,NA,NA,Colubrinae,NA,NA,NA,Craniata,NA,Sarcopterygii,Colubroidea,Eukaryota,Lepidosauria,NA,Elaphe dione
1871,Elaphe quadrivirgata,species,86195,Craniata,NA,Colubridae,Elaphe,NA,Serpentes,Metazoa,Squamata,NA,Chordata,Elaphe quadrivirgata,NA,NA,NA,Colubrinae,NA,NA,NA,Craniata,NA,Sarcopterygii,Colubroidea,Eukaryota,Lepidosauria,NA,Elaphe quadrivirgata
1872,Elaphe quatuorlineata,species,122934,Craniata,NA,Colubridae,Elaphe,NA,Serpentes,Metazoa,Squamata,NA,Chordata,Elaphe quatuorlineata,NA,NA,NA,Colubrinae,NA,NA,NA,Craniata,NA,Sarcopterygii,Colubroidea,Eukaryota,Lepidosauria,NA,Elaphe quatuorlineata
1873,Elapognathus coronatus,species,529694,Craniata,NA,Elapidae,Elapognathus,NA,Serpentes,Metazoa,Squamata,NA,Chordata,Elapognathus coronatus,NA,NA,NA,NA,NA,NA,NA,Craniata,NA,Sarcopterygii,Colubroidea,Eukaryota,Lepidosauria,NA,Drysdalia coronata
1874,Electrona antarctica,species,206093,Actinopteri,Euteleosteomorpha,Myctophidae,Electrona,Teleostei,NA,Metazoa,Myctophiformes,NA,Chordata,Electrona antarctica,NA,Neopterygii,NA,NA,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Electrona antarctica
1875,Electrona carlsbergi,species,123328,Actinopteri,Euteleosteomorpha,Myctophidae,Electrona,Teleostei,NA,Metazoa,Myctophiformes,NA,Chordata,Electrona carlsbergi,NA,Neopterygii,NA,NA,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Electrona carlsbergi
1876,Electrona paucirastra,species,948023,Actinopteri,Euteleosteomorpha,Myctophidae,Electrona,Teleostei,NA,Metazoa,Myctophiformes,NA,Chordata,Electrona paucirastra,NA,Neopterygii,NA,NA,NA,NA,NA,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Electrona paucirastra
1877,Eledone cirrhosa,species,102876,Cephalopoda,NA,Octopodidae,Eledone,Neocoleoidea,NA,Metazoa,Octopoda,NA,Mollusca,Eledone cirrhosa,NA,Coleoidea,NA,NA,NA,NA,Incirrata,NA,NA,NA,NA,Eukaryota,Octopodiformes,NA,Eledone cirrhosa
1878,Eleginus gracilis,species,8047,Actinopteri,Euteleosteomorpha,Gadidae,Eleginus,Teleostei,NA,Metazoa,Gadiformes,NA,Chordata,Eleginus gracilis,NA,Neopterygii,NA,NA,NA,NA,Gadoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Eleginus gracilis
1879,Eleginus navaga,species,80719,Actinopteri,Euteleosteomorpha,Gadidae,Eleginus,Teleostei,NA,Metazoa,Gadiformes,NA,Chordata,Eleginus navaga,NA,Neopterygii,NA,NA,NA,NA,Gadoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Eleginus navaga
1880,Eleginus nawaga,genus,8046,Actinopteri,Euteleosteomorpha,Gadidae,Eleginus,Teleostei,NA,Metazoa,Gadiformes,NA,Chordata,NA,NA,Neopterygii,NA,NA,NA,NA,Gadoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Eleginus nawaga
1881,Eleginus sp.,genus,8046,Actinopteri,Euteleosteomorpha,Gadidae,Eleginus,Teleostei,NA,Metazoa,Gadiformes,NA,Chordata,NA,NA,Neopterygii,NA,NA,NA,NA,Gadoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA,Eleginus sp.
1882,Eleodes armata,genus,186070,Insecta,Holometabola,Tenebrionidae,Eleodes,Neoptera,Cucujiformia,Metazoa,Coleoptera,NA,Arthropoda,NA,NA,Pterygota,NA,Tenebrioninae,NA,NA,Polyphaga,Hexapoda,NA,NA,Tenebrionoidea,Eukaryota,NA,NA,Eleodes armata
1883,Eleodes dentipes,genus,186070,Insecta,Holometabola,Tenebrionidae,Eleodes,Neoptera,Cucujiformia,Metazoa,Coleoptera,NA,Arthropoda,NA,NA,Pterygota,NA,Tenebrioninae,NA,NA,Polyphaga,Hexapoda,NA,NA,Tenebrionoidea,Eukaryota,NA,NA,Eleodes dentipes
1884,Eleodes longicollis,genus,186070,Insecta,Holometabola,Tenebrionidae,Eleodes,Neoptera,Cucujiformia,Metazoa,Coleoptera,NA,Arthropoda,NA,NA,Pterygota,NA,Tenebrioninae,NA,NA,Polyphaga,Hexapoda,NA,NA,Tenebrionoidea,Eukaryota,NA,NA,Eleodes longicollis
